mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate_init,param_model__hidden_layer_sizes,param_model__batch_size,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
12.071934382120768,1.7721675982127982,0.03345386187235514,0.0094297607947995,0.0001,"(64, 64, 32)",32,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.01}",0.9998300582421752,0.9998485489378823,0.9998291580214023,0.99983592173382,8.936341950528586e-06,1
4.713566223780314,1.0597908934711553,0.02764431635538737,0.0067011893784134574,0.0005,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.999812115362405,0.9991975569746928,0.9998262693889138,0.9996119805753372,0.0002930987031643165,5
5.2245692412058515,0.902311431447072,0.024341662724812824,0.005352559653334136,0.0005,"(64, 64, 32)",32,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (64, 64, 32), 'model__batch_size': 32, 'model__alpha': 0.001}",0.9998391328020592,0.9997377461853522,0.9998252377344538,0.999800705573955,4.48789608159143e-05,3
1.397028128306071,0.32705999171419686,0.016274690628051758,0.0030318850750137402,0.0005,"(32, 16)",128,0.001,"{'model__learning_rate_init': 0.0005, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.001}",0.9992373244897622,0.9991280215415408,0.99966904524919,0.9993447970934977,0.00023358001266500627,8
4.580037514368693,1.0367287123752778,0.02367409070332845,0.002594332348153051,0.001,"(128, 64)",64,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 0.0001}",0.9998385140820669,0.999807694291698,0.9997501332897563,0.9997987805545071,3.6627695763334594e-05,4
3.95026167233785,0.624153299794683,0.016361474990844727,0.0021069450433245196,0.0001,"(32, 16)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.9991659654506756,0.9994300983193884,0.9988410393794888,0.9991457010498509,0.00024090882524933696,9
3.1614418824513755,0.3244172066664297,0.013846238454182943,0.0007003884735651818,0.0001,"(32, 16)",128,0.01,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (32, 16), 'model__batch_size': 128, 'model__alpha': 0.01}",0.9989762246531043,0.9986441622218325,0.9990671780371494,0.9988958549706956,0.0001818058660401928,10
1.9211664994557698,0.1303894170453337,0.019025087356567383,0.0008217929321882335,0.001,"(64, 32)",128,0.0001,"{'model__learning_rate_init': 0.001, 'model__hidden_layer_sizes': (64, 32), 'model__batch_size': 128, 'model__alpha': 0.0001}",0.9998661502417133,0.9997996471644193,0.9997973830640303,0.9998210601567209,3.1896900174427065e-05,2
5.725523948669434,0.646770016882213,0.025179942448933918,0.0014858838356083667,0.0001,"(128, 64)",128,0.0001,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 128, 'model__alpha': 0.0001}",0.9996172185648996,0.9991676381681437,0.9996832820807398,0.9994893796045944,0.00022909861192405093,7
5.418440341949463,0.4714764022494834,0.02134426434834798,0.0036876491364202517,0.0001,"(128, 64)",64,1e-05,"{'model__learning_rate_init': 0.0001, 'model__hidden_layer_sizes': (128, 64), 'model__batch_size': 64, 'model__alpha': 1e-05}",0.9997036331237935,0.9993029949757039,0.9996657439549176,0.9995574573514716,0.00018059572307702672,6
